id,nombre,artista,album,fecha_lanzamiento,popularidad,danceability,valence,tempo,disco
7ICJ3XWvbqBxMxsSxcfeuv,Sun,Sleeping At Last,Atlas: Space (Deluxe),2017-02-13,40,0.334,0.0395,151.672,resources\img\1.svg
1TAC5SANfK7l6wGHtUQ7MX,Lone Digger,Caravan Palace,<I°_°I>,2015-10-16,58,0.767,0.868,123.992,resources\img\2.svg
53ccDZYdOil1QZ85rcrJvo,Destinations,Alesso,Forever,2015-05-26,35,0.614,0.514,122.999,resources\img\3.svg
5O2P9iiztwhomNh8xkR9lJ,Night Changes,One Direction,FOUR,2014-11-17,90,0.672,0.37,120.001,resources\img\4.svg
1H7Zqkq54andtaSSnLRrfp,You Will Be Found,"Ben Platt, Kristolyn Lloyd, Will Roland, Laura Dreyfuss, Original Broadway Cast of Dear Evan Hansen",Dear Evan Hansen (Original Broadway Cast Recording),2017-02-03,63,0.293,0.213,87.335,resources\img\5.svg
7erByqCV1mcImSeCYh1XmW,Home,Madeon,Adventure (Deluxe),2015-03-30,39,0.374,0.126,89.993,resources\img\6.svg
7GaXAknKJeuzXm5LVI4Qjd,Try,Mandy Harvey,All of Me,2014-10-30,41,0.608,0.535,150.374,resources\img\7.svg
6bZmneAFKkF6HLzFLFcK0i,Venus,Sleeping At Last,Atlas: Space (Deluxe),2017-02-13,36,0.209,0.326,87.379,resources\img\8.svg
6f1TlAgaapJspwrpWYlLkM,Dirty Mind,Boy Epic,Dirty Mind,2016-09-30,0,0.585,0.112,120.123,resources\img\9.svg
6lV2MSQmRIkycDScNtrBXO,Airplanes (feat. Hayley Williams of Paramore),"B.o.B, Hayley Williams",B.o.B Presents: The Adventures of Bobby Ray,2010-04-27,77,0.66,0.377,93.033,
